Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 💡,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
4/17/2024,,8x22B,39.0,141.0,mistralai/Mixtral-8x22B-v0.1,https://huggingface.co/mistralai/Mixtral-8x22B-v0.1,44.35,9.090909091,3.90808069,70.0,38.4,44.1,32.3,37.0,0.135,0.239,0.15,10.48,7.79,1.81,0.020,2.73,-0.40,1.09,1
4/25/2024,,70,70.0,70.0,maywell/miqu-evil-dpo,https://huggingface.co/maywell/miqu-evil-dpo,44.31,7.272727273,4.006470288,65.0,36.0,56.8,36.7,27.0,0.078,0.318,0.05,7.70,6.56,1.83,0.671,1.40,0.47,1.89,0
9/2/2024,9/2/2024,32,32.0,32.0,TheDrummer/Star-Command-R-32B-v1,https://huggingface.co/TheDrummer/Star-Command-R-32B-v1,44.20,8.181818182,4.063560137,56.7,16.9,38.3,42.2,67.0,0.219,0.239,0.20,8.14,8.47,1.21,0.020,3.07,-0.29,1.30,0
6/28/2024,,70,70.0,70.0,Envoid/Llama-3-TenyxChat-DaybreakStorywriter-70B,https://huggingface.co/Envoid/Llama-3-TenyxChat-DaybreakStorywriter-70B,43.94,3.636363636,6.482341722,45.0,52.0,38.3,49.8,34.7,0.088,0.341,0.05,7.23,9.01,1.58,0.138,2.47,0.16,1.09,0
7/31/2024,8/6/2024,12,12.0,12.0,nothingiisreal/MN-12B-Celeste-V1.9,https://huggingface.co/nothingiisreal/MN-12B-Celeste-V1.9,43.92,7.454545455,3.447413789,59.2,19.8,37.6,42.7,60.3,0.092,0.218,0.05,7.01,6.49,1.84,0.110,2.13,-0.08,1.09,0
8/30/2024,9/1/2024,104,104.0,104.0,CohereForAI/c4ai-command-r-plus-08-2024,https://huggingface.co/CohereForAI/c4ai-command-r-plus-08-2024,43.88,8.181818182,5.055147339,56.7,28.0,32.6,63.3,38.8,0.089,0.257,0.05,8.96,10.93,1.11,0.080,2.20,0.00,0.61,1
2/14/2024,,70,70.0,70.0,alicecomfy/miqu-openhermes-full,https://huggingface.co/alicecomfy/miqu-openhermes-full,43.53,6.363636364,3.761888012,49.2,47.5,48.0,35.3,37.7,0.124,0.344,0.10,9.84,8.19,1.80,0.550,1.53,0.40,1.85,0
5/26/2024,,70,70.0,70.0,migtissera/Llama-3-70B-Synthia-v3.5,https://huggingface.co/migtissera/Llama-3-70B-Synthia-v3.5,43.51,5.454545455,4.611601235,62.5,42.2,47.1,31.0,34.7,0.125,0.309,0.10,10.59,9.99,1.30,0.000,NA,NA,NA,0
7/16/2024,7/29/2024,70,70.0,70.0,meta-llama/Meta-Llama-3.1-70B,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B,43.38,7.272727273,5.398845213,48.3,39.0,43.6,43.0,43.0,0.056,0.272,0.00,7.72,6.74,1.22,0.000,NA,NA,NA,1
4/3/2024,,104,104.0,104.0,CohereForAI/c4ai-command-r-plus,https://huggingface.co/CohereForAI/c4ai-command-r-plus,43.29,8.181818182,5.009956324,51.7,36.4,44.1,30.7,53.7,0.172,0.308,0.15,8.11,9.75,1.56,0.163,2.20,0.09,2.38,1
8/15/2024,8/16/2024,70,70.0,70.0,NousResearch/Hermes-3-Llama-3.1-70B,https://huggingface.co/NousResearch/Hermes-3-Llama-3.1-70B,43.19,6.818181818,5.685858468,48.3,43.6,56.6,38.7,28.7,0.295,0.332,0.35,6.42,9.24,1.39,0.123,2.33,0.02,1.31,0
